Category,Question,Answer
,397. How does process.nextTick() queue differ from the promise microtask queue?,"Both are microtask queues, but the process.nextTick() queue is processed before the promise microtask queue within the same tick of the event loop. This means that any callback scheduled with process.nextTick() will always run before any promise .then() or .catch() callback scheduled in the same scope. nextTick can ""starve"" the promise queue if it recursively calls itself."
,398. What is the v8.getHeapStatistics() method useful for?,"v8.getHeapStatistics() returns detailed statistics about the V8 heap, including total heap size, total available heap size, used heap size, heap size limit, and sizes of different memory spaces. It is useful for monitoring the memory footprint of your application and for diagnosing potential memory-related issues."
,"399. Explain the concept of ""fast properties"" vs ""dictionary mode"" for objects in V8.","V8 uses hidden classes to optimize object property access. When properties can be accessed via a fixed offset (because object shapes are consistent), this is ""fast properties"" mode. However, if properties are added and deleted dynamically, or if there are too many properties, V8 will switch the object to ""dictionary mode,"" which uses a slower hash table for property lookups. To keep objects in fast mode, you should initialize all members in the constructor and avoid adding/deleting properties after instantiation."
,400. How could you abuse prototype pollution in a Node.js application?,"Prototype pollution is a vulnerability where an attacker modifies Object.prototype. Since most objects in JavaScript inherit from Object.prototype, this modification can affect the entire application. An attacker could abuse this by, for example, adding a property to Object.prototype that grants them admin privileges, or by overwriting a common method like toString to execute malicious code. This often happens through unsafe merging of JSON objects from user input."
XXII. WebSockets,"401. What is the difference between polling, long-polling, and WebSockets?","Polling involves the client repeatedly asking the server for new data at fixed intervals. Long-polling is where the client makes a request, and the server holds that connection open until it has new data to send. WebSockets provide a single, persistent, bidirectional connection where either the client or server can send data at any time with low latency."
,"402. What is the WebSocket protocol (ws://, wss://)?","It's a communication protocol for creating a two-way, real-time data transfer between a client and a server over a single TCP connection. ws:// is the standard, unencrypted protocol, while wss:// is the secure, encrypted version that uses TLS, similar to how HTTP relates to HTTPS."
,403. How does the initial WebSocket handshake work over HTTP?,"The process, known as an ""Upgrade,"" starts with the client sending a standard HTTP request that includes an Upgrade: websocket header. If the server supports WebSockets, it replies with an HTTP 101 Switching Protocols status. This single handshake transitions the connection from HTTP to the WebSocket protocol."
,404. What is Socket.IO and how does it differ from a standard WebSocket library like ws?,"Socket.IO is a high-level library that enables real-time, event-based communication. It uses WebSockets as its primary transport but automatically falls back to other techniques like long-polling if WebSockets are unavailable. The ws library is a lower-level, minimal WebSocket implementation that does not offer these automatic fallbacks, reconnection logic, or built-in broadcasting."
,405. How do you broadcast a message to all connected clients using Socket.IO?,"You use io.emit('event_name', data);. This command sends the message to every client connected to the server. To send to all clients except the sender, you would use socket.broadcast.emit('event_name', data);."
,"406. What are ""rooms"" in Socket.IO?","Rooms are a server-side concept for grouping sockets. This allows you to broadcast messages to a specific subset of clients, which is useful for applications like chat rooms or collaborative editing where you only want to notify users in a particular session."
,407. How do you handle authentication for a WebSocket connection?,"Authentication is typically performed during the initial HTTP handshake. The client sends credentials (e.g., a JWT in a query parameter or a cookie) with the upgrade request. Server-side middleware can then intercept this request, validate the credentials, and only allow the WebSocket connection to be established if the user is authenticated."
,408. What are some potential challenges with managing state in a real-time application with many concurrent users?,"Key challenges include state synchronization (ensuring all users see consistent data), scalability (managing memory for a large number of connections), race conditions (multiple users modifying the same data simultaneously), and fault tolerance (preserving state if a server instance fails)."
,409. How does backpressure work with WebSockets?,"Backpressure is a mechanism to handle data flow when a sender is faster than the receiver. In WebSockets, the underlying TCP connection handles this automatically. If the receiver's buffers fill up, TCP signals the sender to slow down or pause transmission until the receiver can catch up, preventing memory overload."
,410. What are Server-Sent Events (SSE) and how do they compare to WebSockets?,"Server-Sent Events (SSE) is a technology where a server can push data to a client over a standard HTTP connection. Unlike WebSockets, SSE is unidirectional (server-to-client only). SSE is simpler and uses regular HTTP, making it ideal for updates like news feeds or notifications. WebSockets are necessary for fully bidirectional communication like chat or gaming."
XXIII. GraphQL,411. What are the main problems with REST that GraphQL aims to solve?,"1. Over-fetching: REST endpoints often return more data than the client needs. 2. Under-fetching: Clients frequently need to make multiple API calls to different REST endpoints to gather all required data. 3. Inflexible Structure: REST APIs have fixed data structures, making it hard to evolve the API without versioning (e.g., /v1, /v2)."
,"412. Explain the core concepts of GraphQL: Schema, Queries, Mutations, and Subscriptions.","- Schema: The contract defining the API's capabilities. It specifies the types, fields, and available operations. - Queries: Used to request and fetch data. The client specifies the exact fields it needs. - Mutations: Used to create, update, or delete data, causing a state change on the server. - Subscriptions: Used for real-time communication, allowing the server to push data to the client when specific events occur."
,413. What is the Schema Definition Language (SDL)?,"It's a concise, human-readable language for writing a GraphQL schema. The SDL is used to define object types, fields, and the available queries, mutations, and subscriptions, acting as the blueprint for the API."
,"414. What is a ""resolver"" in the context of a GraphQL server?","A resolver is a function on the server responsible for fetching the data for a single field in the schema. When a query arrives, the GraphQL server executes the corresponding resolvers for each requested field."
,415. How does GraphQL prevent over-fetching and under-fetching of data?,"GraphQL solves this by design. The client sends a query specifying the exact data and fields it requires. The server then responds with a JSON object containing only that requested data, eliminating multiple round-trips (under-fetching) and unnecessary data transfer (over-fetching)."
,"416. What is the N+1 problem in the context of GraphQL, and how can it be solved?","The N+1 problem occurs when fetching a list of items (1 query) and then making a subsequent query for a related field for each of the N items. This is solved using a technique called batching, most commonly implemented with a tool like DataLoader."
,417. What is a tool like DataLoader used for?,"DataLoader is a utility that solves the N+1 problem by batching and caching database lookups. It collects individual data requests made during a single GraphQL query, combines them into a single, efficient request (e.g., SELECT ... WHERE id IN (...)), and then distributes the results back to the correct resolvers."
,418. How do you handle errors in GraphQL?,"GraphQL has a built-in error handling mechanism. If an error occurs while resolving a field, the server returns a JSON response containing both a data key (with any successfully resolved data) and an errors key, which is an array of objects detailing what went wrong."
,419. What are GraphQL subscriptions used for?,"Subscriptions are used to maintain a persistent connection to the server for real-time updates. When a server-side event occurs (like a new message being added), the server can push the relevant data to all subscribed clients. They are typically implemented using WebSockets."
,420. How would you implement authentication and authorization in a GraphQL API?,"Authentication is usually handled once per request by middleware that runs before GraphQL execution. This middleware validates a token (e.g., JWT) and attaches the user's details to a shared context object. Authorization is then handled within individual resolvers, which check the user's permissions from the context object before fetching or modifying data."
XXIV. More on Express.js,421. Explain how to create a chainable route handler for a specific route path.,"You can use app.route('/path') to get a route instance. This allows you to chain HTTP verb methods (.get(), .post(), .put(), etc.) for the same path in a clean, organized way, like so: app.route('/items').get(getItems).post(createItem);."
,422. What is the purpose of res.locals?,res.locals is an object whose properties are scoped to a single request-response cycle. It's a convenient place for middleware to store and pass information (like user authentication data or pre-fetched content) to subsequent middleware or the final route handler without polluting the global scope.
,423. How can you gracefully handle async errors in Express middleware without try-catch blocks in every route?,"Express 5 handles this automatically. For older versions, you can wrap your async route handlers in a higher-order function that catches any rejected promises and passes the error to next(). Alternatively, you can use a simple package like express-async-errors which patches Express to do this for you."
,424. What is the difference between app.route() and express.Router()?,"app.route() creates a chainable route handler for a single path. express.Router() is a mini-application that can have its own middleware and routing system. Routers are used to create modular, mountable route handlers to organize a large application into separate files or components."
,425. How would you implement content negotiation in an Express API?,"Content negotiation allows an API to serve different formats (e.g., JSON, XML) from the same URL based on the client's Accept header. In Express, you can use res.format() which inspects req.accepts() and provides a simple way to send different responses."
,426. What are some security best practices specific to Express?,1. Use Helmet: It sets various HTTP headers to protect against common web vulnerabilities. 2. Sanitize and Validate Input: Use a library like express-validator to prevent injection attacks. 3. Implement CSRF Protection: Use tokens to protect against cross-site request forgery. 4. Secure Cookies: Set httpOnly and secure flags on cookies. 5. Use Rate Limiting: Prevent brute-force attacks by limiting request frequency.
,427. How do you manage file uploads in Express? What libraries are commonly used?,"Express doesn't handle multipart/form-data (file uploads) natively. The standard library for this is Multer. It's middleware that processes the incoming form data and makes the uploaded files available on the req object (e.g., req.file or req.files)."
,428. Explain how to test Express middleware independently.,"To test middleware, you can call it as a plain function, passing in mocked req, res, and next objects. You can use a testing library like Jest or Sinon to create spies for these objects and then assert that next() was called or that res.status() or res.json() were called with the expected values."
,429. What is the purpose of req.app?,req.app holds a reference to the Express application instance that is handling the request. This is useful for accessing app-level settings (defined with app.set()) from within any route handler or middleware in your application.
,430. How can you extend the Express req or res objects?,"You can add custom properties or methods by modifying them inside a middleware. For example, app.use((req, res, next) => { req.user = 'guest'; next(); });. For adding methods that should be available on all requests, you can modify the prototype: express.request.customMethod = function() { ... };."
XXV. Node.js API,431. What is the querystring module and how does it differ from URLSearchParams?,"The querystring module is a legacy Node.js utility for parsing and formatting URL query strings. URLSearchParams is the modern, web-standard API available in both Node.js and browsers. URLSearchParams provides a richer and more standard interface and is generally the recommended choice for new code."
,432. What is the util module? Name some of its useful functions.,"The util module provides various utility functions helpful for developers. Key functions include: util.promisify() to convert callback-style functions into promise-based ones, util.inspect() to get a detailed string representation of an object for debugging, and util.types for advanced type checking."
,433. Explain the purpose of util.promisify().,"Its purpose is to take a function that follows the common error-first callback pattern (i.e., (err, value) => ...) and return a version of that function that returns a promise. This is a powerful tool for modernizing old codebases to use async/await."
,434. What is the crypto module used for? Give an example of creating a hash.,"The crypto module provides cryptographic functionality, including tools for creating hashes, ciphers, signatures, HMACs, and more. To create a hash, you would create a hash instance with a specific algorithm (like 'sha256'), update it with the data you want to hash, and then call a digest() method to get the final hash value in a desired format (like hex)."
,435. How can you create a secure random string in Node.js?,"The best way is to use crypto.randomBytes() to generate cryptographically strong random data, and then encode it as a string (e.g., hex or base64). For example: crypto.randomBytes(20).toString('hex');"
,436. What is the difference between crypto.randomBytes() and crypto.pseudoRandomBytes()?,"crypto.randomBytes() generates cryptographically strong random data and is the secure, recommended method. It may block if the system lacks sufficient entropy. crypto.pseudoRandomBytes() is a deprecated, faster but insecure method that should not be used for anything security-sensitive like keys or tokens."
,437. What is the assert module and when should it be used?,"The assert module provides a simple set of assertion tests, primarily intended for writing unit tests. It checks for invariants. If an assertion fails, it throws an AssertionError. It's a tool for developers to test their code during development, not for handling runtime errors in production."
,438. Explain the timers/promises API.,"The timers/promises API provides promise-based versions of timer functions like setTimeout. This allows you to use async/await for time-based delays in a clean, modern way without callbacks. For example: const { setTimeout } = require('timers/promises'); await setTimeout(2000);."
,439. What is the worker_threads module and what is its primary use case?,"The worker_threads module enables the use of threads to execute JavaScript in parallel. Its primary use case is for offloading CPU-intensive tasks (like complex calculations, data processing, or encryption) from the main event loop, ensuring the main application remains responsive."
,440. How do you share data between worker threads?,"Data can be sent between the main thread and worker threads using postMessage(), which copies the data. For high-performance scenarios where you need to avoid copying, you can share memory directly using SharedArrayBuffer and MessageChannel."
,441. What is the perf_hooks module for?,The perf_hooks (Performance Hooks) module provides an API for measuring the performance of your Node.js application with high-resolution timing. It allows you to mark start and end points in your code to accurately measure the duration of specific operations.
,442. How does the http2 module differ from the http module in usage?,"The http2 module implements the HTTP/2 protocol, offering major performance features over the http (HTTP/1.1) module, such as multiplexing (multiple requests over one connection) and server push. While the basic API is similar, http2 introduces concepts like streams and sessions to manage these advanced features."
,443. What is the repl module used for?,"The repl module is used to create a Read-Eval-Print-Loop environment, just like the interactive node shell. You can use it to build interactive command-line interfaces or debugging consoles directly into your application."
,444. How can you interact with the operating system using the os module?,"The os module provides operating system-related utility methods. You can use it to get information like the number of CPU cores (os.cpus()), total system memory (os.totalmem()), the current user's home directory (os.homedir()), and the OS platform (os.platform())."
,445. What is a TTY (teletypewriter) in the context of Node.js?,"In Node.js, a TTY refers to a terminal or console environment. The tty module's isatty() function can check if a given file descriptor is connected to a TTY. This is useful for determining if a script should render colors or interactive prompts, as you would only do so when a human is running it in a terminal."
XXVI. Code Challenges,446. Write a function that recursively reads all files in a directory and its subdirectories and returns an array of file paths.,"To create such a function, you would use Node.js's fs (file system) and path modules. The function would take a directory path as input. It would read all items in that directory. For each item, it would check if it's a directory or a file. If it's a file, its full path is added to an array. If it's a directory, the function calls itself with the path of that subdirectory, continuing the process until all subdirectories have been explored."
,447. Implement a simple EventEmitter class from scratch.,"You would create a class with a constructor that initializes an events property as an empty object. An on method would take an event name and a listener function; it would store the listener in an array under the corresponding event name in the events object. An emit method would take an event name and data; it would find the array of listeners for that event and execute each one, passing the data to it."
,448. Write a Transform stream that converts incoming string data to uppercase.,"This requires creating a class that extends Node's stream.Transform. You would implement the _transform method, which receives a chunk of data, an encoding, and a callback. Inside this method, you would convert the data chunk to a string, transform it to uppercase, and then use this.push() to pass the modified data to the next stream in the pipeline before finally calling the callback."
,"449. Using only the net module, write a basic HTTP server that responds with ""Hello, World!"".","You would use the net.createServer method. The callback function for the server gives you a socket object for each connection. Inside this callback, you have to manually construct a valid raw HTTP response string, including the status line (HTTP/1.1 200 OK), headers (Content-Type, Content-Length), a blank line, and the body (""Hello, World!""). This full string is then written to the socket."
,450. Create a simple TCP chat server where multiple clients can connect and broadcast messages to each other.,"The approach is to use the net.createServer method. You would maintain a global list or Set to store all connected client sockets. When a new client connects, its socket is added to the list. When any client's socket emits a 'data' event, you would iterate through the list of all clients and write the received data to every other client's socket. You would also need to handle the 'close' event to remove disconnected clients from the list."
,451. Write a function that takes an array of functions that return promises and executes them sequentially.,"A modern approach uses an async function with a for...of loop. You would iterate through the array of promise-returning functions. Inside the loop, you would await the execution of each function, ensuring one completes before the next one starts. The results can be collected in an array. An older approach involves using Array.prototype.reduce to chain the promises together."
,452. Implement a debounce function.,"Debouncing involves creating a higher-order function that returns a new function. This new function uses a variable in its closure to hold a timeout ID. Each time it's called, it first clears the previous timeout (if one exists) and then sets a new timeout. The original function is only executed inside the setTimeout callback, ensuring it only runs after a period of inactivity."
,453. Implement a throttle function.,"Throttling also involves a higher-order function that returns a new function. This function uses a boolean flag in its closure, like isThrottled. When called, it checks the flag. If not throttled, it executes the original function, immediately sets the flag to true, and starts a setTimeout. The timeout's only job is to reset the flag to false after the specified delay has passed, allowing the function to be called again."
,454. Create a worker thread to calculate a Fibonacci number without blocking the main thread.,"The solution involves two files. The main script would import Worker from the worker_threads module. It would create a new Worker, passing the path to a worker script and the number to calculate as workerData. The main script would then listen for the 'message' event from the worker to receive the result. The worker script would import workerData and parentPort, perform the CPU-intensive Fibonacci calculation, and use parentPort.postMessage() to send the result back to the main thread."
,"455. Write a custom middleware in Express to log the request method, URL, and timestamp for every incoming request.","You would write a function that accepts three arguments: req, res, and next. Inside this function, you would get the current timestamp, access the request method and URL from the req object (e.g., req.method, req.url), and log this information to the console. The final and most important step is to call next() to pass control to the next middleware in the chain."
,456. Write a Node.js script that pipes a gzipped file from the file system to an HTTP response.,"The solution involves streams. You would create an HTTP server. In the request handler, you would first set the Content-Encoding: gzip header on the response (res). Then, you would create a readable stream from a file using fs.createReadStream(). This stream would be piped into a zlib.createGzip() transform stream, which would then be piped into the HTTP response object (res)."
,457. How would you flatten a deeply nested array without using .flat()?,"A common solution is a recursive function. This function would iterate over the input array. For each element, it checks if the element is an array itself. If it is, the function calls itself with that element as the new input, effectively diving deeper. If the element is not an array, it is pushed into a result array. The results from the recursive calls are concatenated to form the final flat array."
,458. Write a function to check if two objects are deeply equal.,"This requires a recursive function. It would first handle base cases: if the two inputs are strictly equal, they are equal. If they are not objects or are null, they are not equal. Then, it compares the number of keys in both objects. If they differ, the objects are not equal. Finally, it iterates through the keys of one object, checking if the other object has the same key and recursively calling the deep equal function on the values of those keys."
,459. Implement a simple caching mechanism using a Map and setTimeout for expiration.,"You would create a class to manage the cache. Internally, this class would use a Map to store key-value pairs. The set method would not only add the item to the Map but also use setTimeout to schedule the deletion of that key from the Map after the specified time-to-live (TTL) has passed. The get method would simply retrieve the value from the Map, returning null or undefined if it's not present."
,460. Write a regex to validate an email address. Discuss its limitations.,"A simple regex would consist of three parts: a local part, an @ symbol, and a domain part. The local part would match one or more characters that are not a space or @. The domain part would match one or more characters, followed by a dot, followed by more characters. Limitations: This is highly simplistic and not compliant with official standards (RFC 5322). It would fail on valid emails with special characters like + and would pass invalid emails like a@b.c. True email validation is notoriously complex and best handled by sending a verification link."
,"461. Describe what is happening in the event loop with this code: setTimeout(() => console.log('A'), 0); Promise.resolve().then(() => console.log('B')); process.nextTick(() => console.log('C')); console.log('D');","Output: D, C, B, A &lt;br> Explanation: &lt;br> 1. console.log('D') is synchronous code and runs first. &lt;br> 2. process.nextTick('C') is scheduled in the nextTick queue, which runs immediately after the current synchronous code and before any other I/O events. &lt;br> 3. Promise.resolve().then('B') is scheduled in the microtask queue, which runs after the nextTick queue. &lt;br> 4. setTimeout('A', 0) is scheduled in the macrotask (timer) queue, which runs on the next tick of the event loop, after all microtasks have finished."
,462. What is memoization? Implement a memoized function.,"Memoization is done with a higher-order function that takes a function (fn) to be memoized. It maintains a cache (like a Map) in its closure. It returns a new function that, when called, first creates a key from its arguments (e.g., by serializing them). It then checks if the key exists in the cache. If it does, it returns the cached result. If not, it calls the original function fn, stores the result in the cache with the new key, and then returns the result."
,463. How would you create a read-only property on an object?,"You would use the Object.defineProperty() static method. You pass it the target object, the name of the property as a string, and a ""property descriptor"" object. To make the property read-only, you set the writable key in the descriptor object to false."
,464. What is function currying? Provide an example.,"Currying is the process of transforming a function that takes multiple arguments into a sequence of functions that each take a single argument. For example, a function add(a, b) that adds two numbers would be transformed into a function curriedAdd(a) which returns a new function. This new function then takes the argument b and returns the sum of a and b. This allows for creating specialized functions, like an addFive function, by just calling curriedAdd(5)."
,465. How does this binding work? Explain the differences with arrow functions.,"The value of this depends on how a function is called. In a method, this is the object. In a simple function call, it's the global object (or undefined in strict mode). call(), apply(), and bind() can explicitly set this. Arrow functions are different: they do not have their own this. Instead, they inherit this from their parent scope (lexical this)."
,466. What is prototypal inheritance?,"It's the mechanism in JavaScript where objects can inherit properties and methods directly from other objects. Every object has a private [[Prototype]] link to another object. When a property is accessed, the engine checks the object first, and if it's not found, it follows the prototype chain until it finds the property or reaches null."
,467. How would you implement a rate limiter for an API endpoint from scratch?,"This would be implemented as an Express middleware. The core logic would use a Map to store client IP addresses as keys. The values would be objects containing a request count and a reset timestamp. On each request, the middleware would look up the IP, increment its count, and check if the count exceeds a defined limit within the time window. If the limit is exceeded, it sends a 429 ""Too Many Requests"" error; otherwise, it calls next() to proceed."
,468. Explain the Singleton pattern and implement one in Node.js.,"The Singleton pattern ensures a class has only one instance and provides a global access point to it. In Node.js, the module system's cache provides a natural way to achieve this. The pattern is to define a class in a module, create a single instance of that class within the same module file, and then export that instance directly using module.exports. Any other module that requires this file will always receive the exact same cached instance."
,469. What is the Observer pattern? How does it relate to EventEmitter?,"The Observer pattern is a design pattern where a ""subject"" object maintains a list of ""observer"" objects and notifies them of any state changes. Node.js's EventEmitter class is a classic implementation of this pattern. The EventEmitter is the subject, on() registers an observer (a listener), and emit() notifies the observers of an event."
,470. Write a script to connect to a PostgreSQL database and execute a simple query.,"The process involves first requiring the pg library. Then, you would create a new Client instance, passing it a configuration object containing connection details like user, host, database, and password. You would then call the asynchronous connect method on the client. Once connected, you can execute a query using the query method with an SQL string. The result is an object containing the returned rows. Finally, you must call the end method to close the connection."
,471. What is the purpose of npm shrinkwrap? How does it relate to package-lock.json?,"npm shrinkwrap creates an npm-shrinkwrap.json file, which is functionally identical to package-lock.json. The key difference is its purpose: package-lock.json is for applications and is ignored when your project is installed as a dependency. npm-shrinkwrap.json is published with your package, ensuring that consumers of your library get the exact same dependency tree you developed with."
,472. How do you debug Node.js applications in a Docker container?,"1. Expose the Inspector Port: Run your Node.js app with the --inspect=0.0.0.0:9229 flag. 2. Map the Port: When running the container, map the host port to the container's inspector port: docker run -p 9229:9229 my-node-app. 3. Connect Debugger: Use a debugger (like in VS Code or Chrome DevTools) to connect to localhost:9229 on your host machine."
,473. What is an AbortController and how can it be used with fetch or other async operations?,"An AbortController is an API for creating a signal that can be used to abort an asynchronous operation. You create a controller, pass its signal property to an API like fetch, and then you can call the controller's abort() method to cancel the operation, which is useful for cleaning up requests that are no longer needed."
,474. What is the difference between a hard link and a symbolic link in the context of file systems?,"A symbolic link (or symlink) is a shortcut that points to another file's path. If the original file is deleted, the symlink is broken. A hard link is a direct reference to the data on disk (the inode). A file is only deleted when its last hard link is removed. Hard links cannot point to directories or span different file systems."
,475. How does Node.js handle top-level variable declarations in modules to prevent global scope pollution?,"Node.js wraps every module's code in a function before executing it (the ""module wrapper""). This function provides arguments like exports, require, module, etc. Because the code runs inside this function wrapper, any top-level variables are scoped to the module itself, not to the global object, preventing scope pollution."
,"476. Explain the concept of a ""side effect"" in a function. Why is it important in Node.js?","A side effect is any effect a function has beyond returning a value, such as modifying a global variable, writing to a file, or logging to the console. Understanding side effects is crucial in Node.js for predictability and debugging. Pure functions (without side effects) are easier to test and reason about, especially in an asynchronous, event-driven environment."
,477. What is Buffer.concat and what problem does it solve when reading from a stream?,"When reading from a stream (e.g., a TCP socket or a file), data often arrives in chunks. Buffer.concat() takes an array of Buffer instances and joins them into a single new Buffer. This solves the problem of reassembling fragmented data chunks into a complete message."
,478. How would you handle graceful restarts of your cluster workers to apply a patch without downtime?,"A common strategy is a ""rolling restart."" You would iterate through the cluster workers one by one: send a shutdown message to a worker, wait for it to finish its current requests and exit, then fork a new worker with the updated code. This ensures that there are always active workers available to handle requests, achieving zero-downtime deployment."
,479. Why is it generally a bad idea to block the event loop? Give three distinct examples of how you might accidentally do it.,"Blocking the event loop is bad because it prevents Node.js from handling any other concurrent operations, making the entire application unresponsive. Examples: 1. Synchronous I/O: Using synchronous file system methods like fs.readFileSync() on large files. 2. Complex Calculations: Running a long, CPU-intensive loop (e.g., calculating a large Fibonacci number) in the main thread. 3. Inefficient Regex: Using a poorly written regular expression that can lead to ""catastrophic backtracking"" on certain inputs."
,480. What is the Proxy object in ES6? Give a practical use case.,"A Proxy object allows you to create a wrapper around another object, which can intercept and redefine fundamental operations for that object (like getting or setting properties). A practical use case is for validation: you can create a proxy for an object that throws an error if a new property value doesn't conform to a specific schema."
,481. What is the Reflect API in ES6?,"The Reflect API is a built-in object that provides methods for interceptable JavaScript operations. Its methods correspond to the ""traps"" available for Proxy handlers (e.g., Reflect.get(), Reflect.set()). It provides a default, standard way to perform these operations, which is especially useful when forwarding operations inside a Proxy handler."
,482. What is tail-call optimization? Does V8 support it?,"Tail-call optimization (TCO) is a process where a compiler can optimize certain recursive function calls to avoid growing the call stack, preventing stack overflow errors for deep recursion. As of now, V8 (the engine behind Node.js and Chrome) does not support TCO in non-strict mode, and its support in strict mode has been removed due to implementation complexities."
,483. How would you prevent a Regular Expression Denial of Service (ReDoS) attack?,"A ReDoS attack uses a specially crafted string that forces a poorly written regex to take an extremely long time to execute, blocking the event loop. To prevent it: 1. Avoid Nested Quantifiers: Be wary of patterns like (a+)+. 2. Use Atomic Groups if the regex engine supports them. 3. Use a Linter: Employ static analysis tools that can detect vulnerable regex patterns. 4. Set Timeouts: Run the regex in a separate worker thread with a timeout."
,484. What is npm link and what problem does it solve during development?,npm link is a command-line tool that allows you to create a symbolic link from your global node_modules directory to a local package. This is useful when you are developing a package and want to test it in another project without having to publish it to the npm registry first. It solves the problem of local package development and testing.
,485. Explain how you would use async_hooks to track the lifecycle of an HTTP request.,"async_hooks is a core Node.js module that provides an API for tracking asynchronous resources. You can create a hook with callbacks (init, before, after, destroy) that fire as resources like promises or TCP sockets are created and completed. To track an HTTP request, you can use a tool like AsyncLocalStorage (built on async_hooks) to store a unique request ID when the request starts and access that ID in any subsequent async operation within that request's context."
,486. What is require.resolve used for?,"require.resolve('module') does not load the module but instead returns the resolved absolute file path of that module. It's useful for checking if a module exists without executing it or for getting a path to a module's file to use with other tools (e.g., a file reader)."
,"487. How does the module wrapper function in Node.js look, and what does it provide to your module's code?","The wrapper function looks like this: (function(exports, require, module, __filename, __dirname) { ... your module code ... });. It provides five key arguments to your module: exports, require, module, __filename (the absolute path to the file), and __dirname (the absolute path to the directory)."
,488. What is the NODE_PATH environment variable? What are its pros and cons?,"NODE_PATH is an environment variable that can be set to a colon-separated list of directories where Node.js should look for modules if they aren't found in node_modules. Pros: Can simplify require paths in some project structures. Cons: It's not a standard practice, can make dependency management less clear, and is generally discouraged in favor of local node_modules installations."
,489. Describe the difference between child_process.fork() and worker_threads.Worker.,"child_process.fork() spawns a completely new Node.js process, with its own memory and event loop. It's heavier and communication is done via IPC. worker_threads.Worker creates a thread within the same process. Threads share memory space, making them more lightweight and allowing for more efficient communication and data sharing (e.g., with SharedArrayBuffer)."
,"490. How can you make a Node.js process listen on a privileged port (e.g., 80) without running as root?","1. Reverse Proxy: The best practice is to run the Node.js app on a non-privileged port (e.g., 3000) and use a web server like Nginx or a load balancer as a reverse proxy to forward traffic from port 80 to port 3000. 2. authbind: Use a tool like authbind which allows non-root users to bind to privileged ports. 3. setcap: Use the Linux setcap command to grant the node executable the capability to bind to privileged ports without running the whole process as root."
,491. You're building an application that needs to be highly available. What does that mean to you in the context of Node.js?,"High availability means the application remains operational and responsive to users even in the face of failures. In Node.js, this means: 1. No Single Point of Failure: Using the cluster module or a process manager like PM2 to run multiple instances and automatically restart them if they crash. 2. Fault Tolerance: Gracefully handling errors and exceptions to prevent crashes. 3. Scalability: Deploying the application behind a load balancer to distribute traffic across multiple servers. 4. Zero-Downtime Deployments: Implementing a strategy (like rolling restarts) to update the application without interrupting service."
,492. What are your thoughts on using ORMs vs. writing raw SQL queries?,"ORMs (Object-Relational Mapping), like Sequelize or TypeORM, are great for rapid development, database abstraction, and preventing common SQL injection vulnerabilities. They are often easier to read and maintain for standard CRUD operations. Raw SQL provides maximum control and performance, which is essential for complex queries, bulk operations, or performance-critical paths. The choice depends on the project's complexity: a mix of both is often a pragmatic approach."
,493. What is the FinalizationRegistry object and what is it for?,"A FinalizationRegistry is an ES2021 feature that allows you to register a callback that will be invoked after an object has been garbage collected. Its primary use case is for cleaning up external resources (e.g., a file handle or a connection held in WebAssembly memory) that are associated with a JavaScript object, but without keeping the object itself alive just for the cleanup logic."
,494. How would you implement a feature flag system in a Node.js application?,"A simple implementation would involve a configuration file (e.g., a JSON file) that maps feature names to boolean values (true for on, false for off). The application would read this file at startup. In route handlers or service logic, you would check the flag: if (featureFlags.newCheckout) { ... } else { ... }. More advanced systems would use a service like LaunchDarkly or an internal dashboard to toggle flags in real-time without redeploying."
,495. What is the difference between Buffer and ArrayBuffer?,"Buffer is a Node.js-specific class for handling raw binary data. It's integrated with Node's APIs and is optimized for server-side operations. ArrayBuffer is a standard JavaScript object representing a generic, fixed-length chunk of binary data. It cannot be manipulated directly; you need to use a ""view"" object like Uint8Array or DataView to interact with its contents."
,"496. Explain the concept of ""Infrastructure as Code"" (IaC) and how it might apply to a Node.js project.","Infrastructure as Code (IaC) is the practice of managing and provisioning infrastructure (like servers, load balancers, and databases) through machine-readable definition files, rather than manual configuration. For a Node.js project, you could use a tool like Terraform or AWS CloudFormation to define the cloud services your application needs. This allows for automated, repeatable, and version-controlled setup of your production environment."
,497. What is dns.lookup() vs dns.resolve()?,"dns.lookup() uses the underlying operating system's resolver facilities (which may involve the hosts file). It almost always resolves a domain to an IPv4 address. dns.resolve() always performs a DNS query to a DNS server and can be used to get specific record types (e.g., MX, TXT). You should generally use dns.lookup() for connecting to services, as it respects the local system's configuration."
,498. Why is it important to sanitize user input? Where should this be done?,"It's crucial to sanitize user input to prevent security vulnerabilities, primarily Cross-Site Scripting (XSS) and SQL Injection. XSS occurs when malicious scripts are injected into the front end, while SQL Injection targets the database. Sanitization should be done on the server-side as a primary defense. You should validate data for correct type and format upon receiving it and escape data before rendering it in a view or including it in a database query."
,499. Describe a scenario where you would choose Node.js for a new project.,"I would choose Node.js for a project that is I/O-intensive and requires handling many concurrent connections with low latency. A great example would be a real-time chat application, a collaborative productivity tool, or a microservice API gateway that primarily shuffles data between other services. Its event-driven, non-blocking model excels in these scenarios."
